Сумма операции с округлением,Дата операции,Категория
120.0,28.05.2020 13:51:12,Фастфуд
100.0,22.05.2020 19:06:42,Фастфуд
296.0,18.04.2020 12:56:40,Фастфуд
100.0,07.04.2020 19:41:58,Фастфуд
100.0,27.03.2020 18:27:28,Фастфуд
64.0,26.03.2020 14:11:28,Фастфуд
49.99,25.03.2020 15:20:53,Фастфуд
49.99,25.03.2020 14:19:23,Фастфуд
100.0,21.03.2020 19:30:53,Фастфуд
38.0,21.03.2020 14:40:24,Фастфуд
95.0,19.03.2020 15:50:57,Фастфуд
69.0,11.03.2020 17:39:30,Фастфуд
49.99,09.03.2020 20:07:30,Фастфуд
49.99,09.03.2020 18:56:56,Фастфуд
49.99,08.03.2020 18:50:11,Фастфуд
99.0,05.03.2020 15:38:12,Фастфуд
